job_id,job_title,company_name,location
3726912563,Datenanalyst im Online-Marketing (m/w/d),My Best Concept,"Bochum, North Rhine-Westphalia, Germany (On-site)"
3586235726,Junior Consultant Data Analytics (m/w/d),PROMATIS ,"Ettlingen, Baden-Württemberg, Germany (Hybrid)"
3622514734,Senior Data Analyst (all genders),Eraneos - powered by Ginkgo,Greater Hamburg Area (On-site)
3733577225,"IT Specialist - Data and Process Analysis (m/f/d) , Start 2024",TecAlliance,"Weikersheim, Baden-Württemberg, Germany (On-site)"
3738418547,BI Analyst (f/m/d),Enter,"Berlin, Berlin, Germany (On-site)"
3736172930,Business Data Analyst Individualkunden (m/w/d),E.ON,"Osnabrück, Lower Saxony, Germany (Hybrid)"
3743714172,Lead Business Intelligence Analyst (f/m/d),justDice,"Hamburg, Hamburg, Germany (Hybrid)"
3736511578,Datenanalyst,Brunel,"Mannheim, Baden-Württemberg, Germany (On-site)"
3652774437,IT Consultant for Business Intelligence and Data Analytics,reeeliance IM GmbH,"Berlin, Berlin, Germany (On-site)"
3622514929,Data Analyst Intern (m/f/d),Tacto,"Munich, Bavaria, Germany (On-site)"
3744215812,Consultant Search & Analytics (m/w/d) at SHI GmbH,join.com,Germany (Remote)
3738192426,Business Intelligence und Data Analytics Consultant (m/w/d),accantec group,"Hamburg, Hamburg, Germany (On-site)"
3738420767,Working Student (m/f/d) - Tableau Analyst // On-Site Hamburg,Engel & Völkers Technology,"Hamburg, Hamburg, Germany (On-site)"
3684120774,WerkstudentIn (w/m/d) Data Analysis Communications,KION Group,"Frankfurt, Hesse, Germany (Hybrid)"
3635461215,Data Analyst im Bereich Integration & Absicherung automatisiertes Fahren (m/w/d),ARRK Engineering GmbH,"Munich, Bavaria, Germany (On-site)"
3618664510,Datenanalyst National (m/w/d),matchING Engineering GmbH,"Frankfurt am Main, Hesse, Germany (On-site)"
3705819692,CRM Data Analyst (m/w/d) (Betriebswirt/in (Fachschule/Ausbildung) - allg. BWL),Adler Modemärkte GmbH,"Haibach, Bavaria, Germany (On-site)"
3738453688,Business Intelligence Analyst (m/f/d),PALTRON,"Heidelberg, Baden-Württemberg, Germany (On-site)"
3743711837,Working Student Data Analyst (f/d/m),Puls,"Berlin, Berlin, Germany (On-site)"
3729034491,Data Analyst (m/w/d) Fertigungs-IT,Albert Handtmann Maschinenfabrik GmbH & Co. KG,"Annaberg-Buchholz, Saxony, Germany (On-site)"
3737941785,Data Analyst & Reporting Expert in Vendor Management Global Customer Care (m/w/d),MediaMarktSaturn,"Ingolstadt, Bavaria, Germany (On-site)"
3741107267,Senior BI Analyst (f/m/d),Enter,"Berlin, Berlin, Germany (On-site)"
3704138673,Master Data Analyst (m/w/d) (befristet bis 31.12.2024),Kärcher,"Winnenden, Baden-Württemberg, Germany (On-site)"
3738228611,Senior Data Analyst BI (m/w/d) Controlling - hybrides Arbeiten (Remote & Präsenz),Adecco,"Höhr-Grenzhausen, Rhineland-Palatinate, Germany (Remote)"
3647867884,Data Governance Analyst (m/w/d),GAG Immobilien AG,"Cologne, North Rhine-Westphalia, Germany (Hybrid)"
3734905199,Data Analyst & SAP Key User (m/w/d) for AIRBUS (m/f/d),Orizon,"Bremen, Bremen, Germany (On-site)"
3746460994,Data Analyst Product Compliance (w/m/x),BMW Group,"Munich, Bavaria, Germany (On-site)"
3744619946,Data Analyst Working Student (m/f/d) for Berlin based Start-up,FINE Legal ,"Berlin, Berlin, Germany (Hybrid)"
3697717345,"Senior Data Analyst, Product (m/f/d)",Inkitt,"Berlin, Berlin, Germany (Hybrid)"
3681445272,Data Analyst (Mandatory Internship),Bella&Bona,"Munich, Bavaria, Germany (On-site)"
3727092383,Intern (m/f/d) Data Analyst #StandwithUkraine,Allianz,"Munich, Bavaria, Germany (Hybrid)"
3734877589,Data Analyst,kevin.,"Berlin, Berlin, Germany (Hybrid)"
3663819830,Business Intelligence Analyst,Brunel,"Osnabrück, Lower Saxony, Germany (On-site)"
3739078537,Data Analyst im Bereich Integration & Absicherung automatisiertes Fahren (m/w/d),ARRK Engineering GmbH,"München, Bavaria, Germany (On-site)"
3744155534,Senior Data Analyst (m/w/d),advastore SE,"Munich, Bavaria, Germany (On-site)"
2814949646,Consultant Data Analytics - April 2021,KOMMLINk GmbH,"Düsseldorf, North Rhine-Westphalia, Germany"
3685106831,Tableau BI Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,"Baden-Württemberg, Germany (On-site)"
3742124615,Datenanalyst (gn),Bankpower GmbH,"Frankfurt am Main, Hesse, Germany (On-site)"
3741829335,Business Intelligence Consultant (m/w/d),CBTW,"Frankfurt, Hesse, Germany (Hybrid)"
3733791563,E-Commerce Data Analyst (m/w/d),tecalor GmbH,"Holzminden, Lower Saxony, Germany (On-site)"
3719405734,"Sr. Data Analyst, Customer Insights, EU",Athletic Greens,Germany (Remote)
3655325591,Consultant BI - March 2018,KOMMLINk GmbH,"Düsseldorf, North Rhine-Westphalia, Germany (Remote)"
3738426656,Master Data Analyst bei Zeiss (m/w/d) (Job-ID: 8899),Steinbeis Center of Management and Technology - SCMT GmbH,Germany (Remote)
3551188913,Business Improvement Data Analyst (m/w/d),MEYER WERFT GmbH & Co. KG,"Papenburg, Lower Saxony, Germany (On-site)"
3745052624,Business Intelligence Analyst (m/w/d),CG Elementum AG,"Leipzig, Saxony, Germany (On-site)"
3727633500,CRM Data Analyst (m/f/d) (Business economist (technical college/training) - general business administration),Adler Modemärkte GmbH,"Haibach, Bavaria, Germany (On-site)"
3700105121,Junior Consultant BI | Spannende Business Intelligence Projekte! (mwd),Vesterling AG,"Kaiserslautern, Rhineland-Palatinate, Germany (Hybrid)"
3736242330,BI Analyst (m/w/d),ista Express Service GmbH,"Rastede, Lower Saxony, Germany (On-site)"
3744222020,Microsoft BI Consultant,sealed solutions,"Stuttgart, Baden-Württemberg, Germany (On-site)"
3744268149,Senior Business Intelligence (BI) Analyst (f/m/d),Qunomedical GmbH,"Berlin, Berlin, Germany (On-site)"
3659714455,Business Intelligence Analyst (m/w/d) / PowerBI Experte (m/w/d),Duisburger Hafen AG,Germany (On-site)
3744850282,Trainee (m/w/d) Data Analyst Marketing,SPECTRUM AG,"Berlin, Berlin, Germany"
3740314189,BI Analyst / Data Expert (m/w/d),Ferdinand Stükerjürgen GmbH & Co. KG,"Rietberg, North Rhine-Westphalia, Germany (On-site)"
3658345985,Datenanalyst (m/w/d),ZDS Zander Digital Services,"Witten, North Rhine-Westphalia, Germany (Hybrid)"
3739063281,Senior Data Analyst,Hopmann Marketing Analytics GmbH,"Munich, Bavaria, Germany (On-site)"
3743716019,Working Student Data Analysis (f/m/x),CarOnSale,"Berlin, Berlin, Germany (Hybrid)"
3685107701,Tableau BI Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,"Baden-Württemberg, Germany (On-site)"
3732489364,Data Analyst (m/w/d),bonprix,"Hamburg, Hamburg, Germany"
3669317510,(Junior) Consultant SAP BI/ BW/ Data Engineering (m/w/d),HARIBO International,"Grafschaft, North Rhine-Westphalia, Germany (On-site)"
3655328406,Consultant BI - March 2020,KOMMLINk GmbH,"Düsseldorf, North Rhine-Westphalia, Germany"
3692558231,Student Assistant - Sustainability Data Analysis,Meo Carbon Solutions,"Cologne, North Rhine-Westphalia, Germany (On-site)"
3697163130,BI Consultant – Data Analytics (all genders),INFORM GmbH - Optimization Software,"Aachen, North Rhine-Westphalia, Germany (Hybrid)"
3587854206,Datenanalyst Regional (m/w/d),matchING Engineering GmbH,"Frankfurt am Main, Hesse, Germany (On-site)"
3581417191,Tableau BI Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,"Hamburg, Hamburg, Germany (On-site)"
3735703170,Business Intelligence Analyst m/w/d,ROLLER GmbH & Co. KG,"Gelsenkirchen, North Rhine-Westphalia, Germany (On-site)"
3732853520,"Data Analyst – Data Team (Bangkok based, relocation provided)",Agoda,"Munich, Bavaria, Germany"
3744775457,Data Analyst (m/w/d) 100% remote,GULP – experts united,"Munich, Bavaria, Germany (Remote)"
3739448471,Data Analyst Freelancer - MDI,SoundCloud,"Berlin, Berlin, Germany (Hybrid)"
3736673130,(Senior) Data Analyst für Customer Analytics (m/w/d),The Stepstone Group,"Paderborn, North Rhine-Westphalia, Germany (On-site)"
3689619948,Datenanalyst (m/w/d),GASCADE Gastransport GmbH,"Cassel, Hesse, Germany (On-site)"
